Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2019,2020,2021,2022,2023
Bangladesh,BGD,Asian Dev. Bank   ,915,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,656569000,679578000,773129726,805451752,833437841.8
Bangladesh,BGD,Asian Infrastructure Investment Bank,899,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4162000,6459000,11172850,15639800,25944466.7
Bangladesh,BGD,Belarus,086,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,425000,5541000,6826000,6762000,6698000
Bangladesh,BGD,Belgium,002,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,138834.1,141542.4,101440.3,101440.3,101440.3
Bangladesh,BGD,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,149612342.3,163706767.4,152932535.5,206370626.2,287775465
Bangladesh,BGD,Denmark,003,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,10478617.4,10683024.6,12861848.7,12861848.7,4095446.3
Bangladesh,BGD,European Investment Bank,919,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,802774.7,1404008.9,7883349.8,9816690.8,9706251.8
Bangladesh,BGD,France,004,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4243398,8557605.8,8281356.6,12537766.3,16640035.7
Bangladesh,BGD,"Germany, Fed.Rep. Of",005,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3143921.1,6210742.2,7144290.6,7028943.2,6991140.6
Bangladesh,BGD,India,646,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,5451000,7457000,69492530.1,69160663.4,68821796.8
Bangladesh,BGD,International Fund for Agricultural Dev. (IFAD),988,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,15607771.4,18477061.8,23391776.7,24719721.9,25955238.8
Bangladesh,BGD,International Monetary Fund                 ,907,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,120692798.4,131817586.8,189890755.6,176706538.1,265101214.9
Bangladesh,BGD,Islamic Dev. Bank,976,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,48056844.9,47555030.2,47085578,45368172.1,44064995
Bangladesh,BGD,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,123249693.3,126463749,151641756.8,144353005.5,184296604.7
Bangladesh,BGD,"Korea, Republic Of",742,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,11196813,10162680.3,14478966.8,14460086.6,14370569.8
Bangladesh,BGD,Kuwait,552,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,19518394.2,18316478.5,14782853.4,14536495.6,12461086.9
Bangladesh,BGD,Nordic Development Fund,950,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1414600.6,1429489.7,2004562.5,1992452.7,1979115.9
Bangladesh,BGD,OPEC Fund for International Dev.,951,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,11499000,14520000,13539637.2,13156637.2,14741337.2
Bangladesh,BGD,Other Multiple Lenders,FCW,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3906579000,1901203000,1779647270,1261601190,1088969170
Bangladesh,BGD,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,165760000,177653000,163189000,161953000,62766000
Bangladesh,BGD,Saudi Arabia,566,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,9356000.1,11153066.9,12495080.7,12517000.7,12310333.9
Bangladesh,BGD,Switzerland,011,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,265664.6,281440.3,296010.3,293739.2,291468
Bangladesh,BGD,United Arab Emirates,576,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,8998230.1,5031994.6,4522058.5,4479852.9,4437647.3
Bangladesh,BGD,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,5772630698.2,3866727269.4,4062877553.8,3677846681.2,3703423435.8
Bangladesh,BGD,World Bank-IDA                         ,905,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,494296000,512242000,595623819.7,655638757.8,711466768.4
Benin,BEN,African Dev. Bank         ,913,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,8051068.1,9412954.7,13863359.7,15779235.1,16864245.6
Benin,BEN,Arab Bank for Economic Dev. in Africa (BADEA),953,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3115000,2883000,3075996.2,2854970.2,3270337.7
Benin,BEN,Bondholders,BND,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3851527.3,32592413.7,35279125,35279125,35279125
Benin,BEN,Brazil,431,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,61000,41000,40000,212461.5,381923.1
Benin,BEN,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,16932096.9,6982622.4,19158294.6,22064621.3,24795208.4
Benin,BEN,Economic Community of West African States (ECOWAS),997,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,5778205.2,6195377.5,6517970.4,6766630.4,6622497.5
Benin,BEN,European Investment Bank,919,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,5098795.1,5312404.8,4710381.1,4826464.8,4750384.6
Benin,BEN,France,004,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1387221.6,12778764.8,7112183.8,9198553.9,13218390.3
Benin,BEN,"Germany, Fed.Rep. Of",005,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,323903368.3,54790594.9,8805362.8,8460547.7,8115732.6
Benin,BEN,India,646,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3799000,2393000,1813341.6,1788341.6,1764341.6
Benin,BEN,International Fund for Agricultural Dev. (IFAD),988,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3579941.3,3720127.6,3952563.7,3926638.9,4040660.1
Benin,BEN,International Monetary Fund                 ,907,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,21282067.7,25385862.8,11797153,14272956.1,16565845.1
Benin,BEN,Islamic Dev. Bank,976,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,29112068.8,8983752.3,21126006.2,19925526.6,18299869
Benin,BEN,Kuwait,552,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3870083.3,4245217,6901779.4,6536166.9,6440646.4
Benin,BEN,Netherlands,007,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,5562322,9663691.3,20712616.5,20521188.9,20327307.1
Benin,BEN,Nordic Development Fund,950,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,5488923.9,421202.7,730124.5,725216.1,720307.7
Benin,BEN,OPEC Fund for International Dev.,951,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,6523000,2549000,2413782.9,2016616.3,1986616.3
Benin,BEN,Saudi Arabia,566,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,940800,1224533.3,1511354.2,2298287.5,2278287.5
Benin,BEN,United Arab Emirates,576,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,889584.8,750170.2,382501.5,373788.1,364530.1
Benin,BEN,United Kingdom,012,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,13658366.6,41792667.8,46595859.6,48163541.2,49137932.2
Benin,BEN,West African Development Bank - BOAD,957,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,34600847.9,31713962.6,34297007.1,36920569.4,40743496.4
Benin,BEN,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,514019288.8,288764320.4,277971455.2,294166752.6,312472246.8
Benin,BEN,World Bank-IDA                         ,905,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,16136000,20166000,27174691.4,31255305.1,36504562.5
Bhutan,BTN,Asian Dev. Bank   ,915,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,14238000,15528000,19370240.7,21023101.6,22379778.8
Bhutan,BTN,Austria,001,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,20177972.3,9993576.1,10225853.7,9889628.3,9544813.2
Bhutan,BTN,India,646,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,10119875.2,8801759.9,138438817.5,118925665.5,129015974.8
Bhutan,BTN,International Fund for Agricultural Dev. (IFAD),988,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1452149,1693969.8,2124737.6,2107454.3,2093051.5
Bhutan,BTN,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1000016.1,1021077.7,1608371.5,1608371.5,1608371.5
Bhutan,BTN,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,61559913.6,58288851.8,185227963.9,167745402.3,178709710.3
Bhutan,BTN,World Bank-IDA                         ,905,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,7342000,9255000,11895531.1,12632769.3,12513308.7
Burkina Faso,BFA,African Dev. Bank         ,913,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,10043455.7,10588703.7,18458530.9,19179113.2,19413340
Burkina Faso,BFA,Arab African International Bank,922,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,883000,889000,962795.5,953848.4,947901.2
Burkina Faso,BFA,Arab Bank for Economic Dev. in Africa (BADEA),953,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2551033.7,4349629.7,7139874.5,7074822.3,7013744
Burkina Faso,BFA,Arab Fund for Economic & Social Development,921,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,624000,557000,1036190,1027190,1018190
Burkina Faso,BFA,Belgium,002,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,499355,0,494828.1,677257,677257
Burkina Faso,BFA,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,5035000,5829000,4942000,6749111.1,8527222.2
Burkina Faso,BFA,Dev. Bank of the Central African States (BDEAC),993,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,527000,495000,106900,106900,106900
Burkina Faso,BFA,Economic Community of West African States (ECOWAS),997,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,3699157.5,3727638.8,4710811.3,4618125.3,4521118.7
